date,Senorita,Bad Guy,Truth Hurts,Old Town Road,Ran$om,Talk,No Guidance,I Don't Care,Goodbyes,If I Can't Have You,Someone You Loved,Sucker,Money In The Grave,You Need To Calm Down,Sunflower (Spider Man: Into The Spider Verse),The Git Up,Suge,Beautiful People,Lover,Boyfriend,The London,Hot Girl Summer,Dancing With A Stranger,Baby,Beer Never Broke My Heart,Hot,Pop Out,"Hey Look Ma, I Made It",Wow ,Without Me,Speechless,Bad Bad Bad,Motivation,Knockin' Boots,My Type,How Do You Sleep?,7 Rings,Panini,Cash Shit,Rearview Town,God's Country,Trampoline,All To Myself,Whiskey Glasses,Shotta Flow,Only Human,Slide Away,Otro Trago,One Thing Right,China,The Ones That Didn't Make It Back Home,Clout,Queen Of Mean,Easier,What's The Move,Callaita,On Chill,ME,I Don't Know About You,Just How It Is,Surf,Call You Mine,Go Loko,Lalala,Never Really Over,Raised On Country,Living,Press,Time,Sup Mate,Southbound,Hate Me,No Me Conoce,Love You Too Late,Won't Be Late,It's You,Tip Of My Tongue,Heartless,Ballin',Prayed For You,Soltera,Light It Up,Juicy,Lil Baby,Right Back,EARFQUAKE,F N,Buy My Own Drinks,Mac 10,What Happens In A Small Town,Some Of It,Ecstasy,What If I Never Get Over You,Uno,Daddy,We Were,Baby Sitter,Takeaway,Every Little Thing,Did It Again,Happier,Sweet But Psycho,Better,Going Bad,Talk You Out Of It,Gold Roses,Just Us,Small Talk,Night Falls,Snake Skin,24/7,Love Ain't,Sanguine Paradise,Rodeo,Tap,La La Land,Que Pretendes,Single Again,Worth It,Shallow,Trust Issues,How About Now,The Motion,Dreams Money Can Buy,Hot Shower,Club Paradise,Antisocial,Fear Inoculum,Days In The East,Before I Let Go,High Hopes,Sicko Mode,Cross Me,The Archer,Leave Me Alone,The Search,Baguettes In The Face,MEGATRON,All Day Long,Do You Remember,Calma,Cool,Nightmare,Rumor,Act Up,GIRL,Con Calma,Middle Child,Brown Skin Girl,Under The Sun,Mood 4 Eva,Wish Wish,South Of The Border,Pure Water,Remember The Name,Walk Me Home,Look What God Gave Her,BLOW,Like A Rodeo,Spirit,Best Part Of Me,Wake Up,Eastside,Look Back At It,Down Bad,Good As You,Costa Rica,Out The Mud,Girls Need Love,Mother's Daughter,Ocean Eyes,Higher Love,Don't Check On Me,Homicide,Please Me,When I Grow Up,Eyes On You,Bacc At It Again,"Break Up With Your Girlfriend, I'm Bored",Here With Me,Love Someone,Big Ole Freak,You Stay,Baila Baila Baila,Omerta,Summer Days,When The Party's Over,Envy Me,Miss Me More,Sanctuary,Rescue Me,Te Robare,Robbery,Racks In The Middle,Beautiful Crazy,Close Friends,Bury A Friend,Even Though I'm Leaving,Put A Date On It,Heaven,Please Tell Me,On My Way To You,Amor Genuino,XanaX Damage,Government Official,Murder On My Mind,Isis,Boy With Luv,Shut Up About Politics,Under Enemy Arms,Night Shift,A Lot,Thotiana,Higher,Who Do You Love,Don't Call Me Up,Earth,Juice,HP,Mixed Personalities,Paradise,Triggered,Girls Like You,I Think,Celebrate,Jealous,Running Out Of Time,Igor's Theme,New Magic Wand,A Boy Is A Gun,What's Good,Puppet,Weather The Storm,Here Tonight
2019-05-01,2,49,29,61,0,94,0,10,12,8,44,66,0,0,48,1,30,14,22,52,82,0,100,51,4,84,63,0,18,69,17,87,80,38,52,24,89,64,5,19,55,68,79,43,30,53,1,19,7,83,43,63,5,67,19,0,33,72,56,79,62,7,0,15,0,35,100,74,87,0,57,54,4,38,0,98,8,50,33,7,32,100,64,44,94,0,90,34,79,12,93,79,3,69,54,85,60,46,100,57,89,93,89,96,39,3,83,12,16,86,53,64,100,45,89,69,1,3,93,13,19,74,93,2,31,42,33,0,14,95,75,89,31,4,39,93,0,5,45,53,96,83,45,66,100,88,91,31,0,25,0,81,9,100,6,77,44,72,0,77,4,84,100,74,22,96,15,13,79,3,76,13,1,24,86,15,36,9,0,96,88,69,78,78,3,28,37,69,39,67,53,82,86,100,69,81,85,0,62,64,66,86,0,2,66,100,91,86,0,0,96,95,86,80,96,70,71,78,82,100,42,23,96,85,69,71,15,0,0,1,88,72,17,66
2019-05-02,2,45,22,61,0,91,0,8,15,12,45,100,0,0,22,0,28,10,19,52,79,0,73,49,4,82,58,100,16,100,60,88,86,34,53,0,99,59,3,32,38,53,50,57,26,61,0,24,7,82,0,89,3,62,5,0,19,68,26,84,54,3,1,15,1,33,95,73,86,3,32,54,3,15,0,83,12,52,32,14,27,87,60,47,77,0,88,0,66,0,92,68,1,73,51,95,75,49,63,65,99,91,82,95,77,3,76,19,16,62,45,68,74,43,87,62,0,3,80,11,20,77,98,1,34,46,38,0,15,81,98,100,31,3,32,98,0,5,41,44,76,86,39,64,93,80,73,30,0,27,0,71,7,81,5,87,46,69,0,74,6,83,86,64,26,82,15,14,69,4,75,12,0,32,92,20,43,52,0,79,85,86,80,67,3,22,100,70,46,60,46,79,62,88,88,76,96,0,47,60,59,91,0,0,65,89,85,100,0,3,89,92,92,78,91,56,67,74,89,57,40,24,96,93,55,69,8,0,0,0,99,83,20,42
2019-05-03,3,49,21,66,0,89,0,8,14,100,56,76,0,0,11,3,45,13,21,50,74,0,90,53,5,82,61,0,17,87,30,85,76,40,55,0,93,61,3,23,57,65,43,57,35,51,0,22,11,78,41,68,3,64,24,0,41,73,11,65,60,4,100,16,0,42,91,72,83,0,52,56,5,36,0,76,8,49,30,16,30,74,68,45,79,0,79,16,82,16,100,81,4,70,52,88,62,68,92,51,97,74,85,91,45,2,74,9,17,60,42,80,80,51,83,71,2,2,83,13,19,59,85,0,35,49,34,0,9,100,94,85,32,4,39,100,0,5,43,49,79,91,40,77,95,83,84,42,0,19,0,73,9,81,7,78,41,66,0,70,5,77,99,68,27,77,15,7,75,5,76,12,1,100,81,24,47,18,0,87,75,52,72,71,4,26,82,86,42,62,54,74,59,74,87,68,100,0,70,60,55,88,0,0,68,90,80,96,0,3,77,91,95,70,68,44,66,75,85,67,41,22,83,94,67,64,18,0,0,1,74,75,13,41
2019-05-04,2,52,24,71,0,84,0,9,17,55,48,81,0,0,13,1,38,11,22,55,68,1,86,58,3,92,67,0,18,97,28,86,60,54,42,0,100,73,2,50,59,98,42,54,18,49,0,27,5,73,0,67,2,50,9,0,35,86,58,51,63,10,81,20,0,18,86,52,95,0,52,58,6,28,1,67,14,55,40,20,31,78,75,40,81,0,66,18,71,0,61,68,1,66,55,76,66,89,41,69,97,94,77,97,62,2,73,15,18,56,48,73,65,54,83,69,1,4,86,14,9,44,66,1,39,45,30,0,8,91,84,91,35,5,35,94,0,6,37,51,98,49,47,73,94,89,92,42,0,47,0,76,5,85,6,100,48,74,0,74,2,84,73,64,27,66,14,12,85,5,86,10,1,69,81,15,42,10,0,83,91,64,70,84,4,25,73,86,35,66,48,92,56,86,100,88,97,0,47,67,58,94,0,0,38,86,69,95,0,0,77,82,100,54,100,48,54,81,79,62,41,17,100,83,49,74,9,0,2,0,82,73,23,45
2019-05-05,3,51,30,70,37,87,0,9,15,53,54,74,0,0,50,2,34,11,23,57,69,0,82,57,3,93,61,0,19,80,25,87,69,61,45,25,90,65,7,45,52,96,65,53,18,39,0,26,10,76,45,83,3,50,20,0,47,85,53,52,65,6,70,16,0,14,88,56,91,0,44,56,2,28,0,74,13,46,28,8,34,64,71,45,77,0,70,26,73,18,60,79,0,68,55,86,66,79,60,56,90,99,79,80,45,3,70,12,17,64,50,85,63,55,83,82,2,5,87,13,20,53,65,0,37,36,33,0,0,92,100,81,35,4,26,94,0,7,43,44,94,48,52,63,90,93,92,32,0,27,0,87,10,80,7,88,29,68,1,76,4,85,85,74,27,56,14,8,68,5,68,18,3,53,84,14,46,29,95,89,92,64,76,84,3,25,80,91,39,72,58,70,56,69,84,87,92,0,59,66,71,73,1,2,40,79,80,88,0,0,77,92,78,58,79,45,54,83,78,85,41,18,93,88,87,73,9,0,3,0,86,71,15,61
2019-05-06,2,45,29,54,0,89,0,8,13,42,47,67,1,0,11,2,34,10,20,51,67,0,69,70,3,75,62,0,16,64,20,88,87,30,58,0,67,62,0,13,60,62,57,33,18,49,0,26,2,81,0,54,3,59,15,0,29,68,26,71,56,2,74,14,0,29,92,71,100,3,34,54,3,40,1,78,7,48,33,13,34,86,57,40,83,0,84,8,76,21,99,76,5,76,47,81,64,59,41,62,84,81,82,81,66,4,66,13,19,63,45,33,89,43,81,63,0,3,78,11,18,70,95,1,32,40,35,0,6,61,63,63,29,3,30,95,0,5,44,40,66,71,38,70,93,78,60,35,0,26,0,74,8,71,6,66,33,63,1,67,3,83,74,58,26,77,16,7,73,6,72,10,1,45,90,16,42,9,85,73,85,62,75,69,4,23,54,83,42,62,47,63,49,74,74,66,72,0,47,55,72,67,0,0,64,87,79,75,0,3,82,96,70,75,76,46,61,73,88,86,35,23,70,85,69,62,8,2,0,1,84,75,7,40
2019-05-07,2,42,30,55,0,92,0,10,11,34,46,65,0,0,22,1,31,13,19,47,72,0,61,61,10,72,59,0,16,66,18,83,83,50,46,7,77,54,3,36,49,55,59,37,30,46,0,21,16,81,0,57,4,52,15,0,16,67,31,73,56,6,58,11,0,20,92,74,98,0,38,51,3,35,0,76,6,39,29,23,34,75,63,38,84,2,83,8,74,5,98,79,3,81,47,78,62,45,46,52,82,70,83,71,47,2,62,16,10,71,46,34,92,40,86,56,0,3,82,10,18,76,100,1,30,49,30,0,2,58,68,67,31,3,28,95,0,5,45,50,73,78,40,64,96,75,68,33,0,26,0,70,6,67,6,77,22,63,0,70,3,83,76,68,25,80,15,18,58,7,58,12,2,39,92,20,38,51,0,81,80,85,71,61,4,24,43,72,31,53,50,70,54,69,59,77,74,0,57,54,62,88,0,0,80,83,80,73,0,0,93,93,77,73,69,37,63,72,91,73,34,24,69,87,60,63,11,3,2,1,87,70,16,51
2019-05-08,2,42,32,62,0,94,0,12,15,32,49,65,0,0,34,1,27,12,19,44,75,0,65,100,100,72,67,25,16,69,23,82,82,50,47,8,76,58,0,36,35,58,86,49,33,48,1,24,11,83,40,57,3,53,15,0,30,68,47,85,56,3,55,12,0,29,91,73,87,0,44,49,1,35,0,82,7,54,35,19,36,69,59,44,94,5,75,0,88,16,97,73,2,82,48,86,66,48,73,45,85,80,82,96,40,4,64,18,13,82,47,63,68,38,90,63,2,3,82,11,22,74,96,1,35,48,32,0,9,68,74,72,27,3,26,100,0,6,39,52,78,83,38,65,88,75,76,28,0,16,0,75,6,68,5,66,25,69,4,72,5,85,79,69,27,97,16,8,66,8,71,12,0,37,92,12,45,61,0,82,83,68,78,70,3,23,59,88,35,61,47,65,54,53,78,72,82,0,100,53,72,84,0,0,100,78,70,70,0,0,73,95,87,97,95,65,69,71,89,72,37,100,80,92,56,68,24,2,2,0,90,76,16,59
2019-05-09,3,49,36,64,0,100,1,15,14,27,48,67,0,0,57,3,32,10,20,44,75,0,73,64,76,78,67,0,16,73,22,85,87,51,49,8,77,64,2,41,58,52,54,51,26,41,1,25,14,89,0,51,3,58,34,0,44,68,58,77,53,3,59,16,0,17,93,74,88,0,40,57,3,31,1,80,10,53,28,11,68,82,62,43,79,3,87,16,87,27,94,77,0,79,51,89,71,47,72,61,85,79,84,83,30,3,77,17,17,77,49,72,73,43,91,56,2,2,83,11,19,70,93,0,37,37,35,0,4,71,74,57,30,3,32,90,0,6,41,57,80,88,43,71,82,78,76,30,0,20,0,77,8,65,4,75,39,68,1,75,4,83,83,75,26,91,16,11,82,9,69,10,1,37,90,21,38,26,0,96,80,50,77,61,3,23,70,97,40,64,51,69,63,70,74,75,82,0,48,57,52,89,0,0,70,79,68,73,0,0,95,97,65,76,67,100,66,73,91,71,37,95,78,89,57,77,14,0,2,4,88,76,20,31
2019-05-10,3,48,31,68,0,97,0,100,11,28,48,63,0,0,12,2,36,13,21,45,71,0,75,55,42,76,63,0,17,70,23,85,73,35,53,16,87,63,2,28,68,58,48,64,23,44,0,28,4,98,0,48,2,54,22,0,29,75,22,65,57,7,40,16,0,17,87,70,84,3,58,56,2,37,0,75,7,56,58,11,100,74,65,49,88,2,79,16,63,28,96,86,1,71,54,84,56,73,38,77,94,82,83,84,42,3,66,11,17,66,47,77,47,44,88,64,1,7,83,12,16,89,84,0,33,48,29,0,15,76,80,77,33,4,32,66,0,9,35,51,91,94,49,63,96,79,89,33,0,19,0,71,7,81,6,68,45,70,1,69,3,80,92,69,28,90,15,13,72,15,75,8,1,35,90,16,48,45,0,90,87,57,76,63,4,24,98,78,35,64,49,56,61,53,83,86,74,0,55,60,64,90,0,0,78,77,71,72,0,0,92,87,75,73,73,65,63,77,84,78,38,59,83,87,56,80,16,2,2,0,81,73,12,52
2019-05-11,3,53,30,75,0,91,0,68,15,24,68,71,0,0,13,1,34,8,23,53,73,0,87,57,42,89,66,0,18,74,30,86,62,51,43,9,91,67,5,43,47,93,78,71,15,49,1,29,4,81,0,65,2,47,33,0,33,91,68,57,66,3,59,17,0,19,81,54,82,0,43,61,2,24,1,70,9,48,46,16,97,64,81,41,83,1,70,0,59,32,62,72,3,71,59,80,71,87,57,69,100,100,79,97,30,4,75,13,19,76,49,87,48,58,85,72,4,3,83,14,19,58,59,0,33,53,31,0,4,94,81,75,35,5,38,59,0,8,33,54,100,55,46,71,83,95,100,30,0,21,0,79,7,77,4,91,49,78,0,72,4,83,82,74,31,59,15,16,72,38,100,21,0,34,87,13,34,20,0,94,91,72,75,73,4,22,90,100,41,71,61,75,54,57,100,91,83,0,68,72,63,77,0,0,27,79,69,81,0,0,79,93,72,59,87,69,54,87,81,65,39,46,90,86,55,82,10,2,0,1,100,70,10,78
2019-05-12,3,53,26,70,0,88,0,57,14,28,60,82,0,0,39,2,40,11,23,54,71,1,91,54,30,89,69,0,19,71,24,86,68,45,42,0,84,62,4,52,68,89,53,49,23,37,1,29,7,83,0,60,4,48,15,0,29,86,67,59,67,5,38,15,1,33,87,56,84,3,34,54,2,35,0,74,10,58,32,20,75,72,77,40,72,5,72,0,65,12,61,78,4,76,56,81,71,67,79,61,99,89,80,97,42,4,77,16,22,70,49,64,45,48,79,74,0,4,87,13,16,33,56,1,32,53,31,0,6,67,76,70,34,4,31,60,0,5,37,42,95,51,47,57,72,89,90,26,0,23,1,96,8,73,5,96,37,69,2,72,2,85,85,72,21,78,15,22,57,100,69,18,1,29,84,17,44,30,0,99,87,43,73,72,3,27,85,83,28,66,54,87,55,52,95,82,94,0,55,92,79,74,0,0,39,46,67,75,0,0,80,97,73,56,89,75,54,82,75,52,39,32,90,84,81,78,11,2,2,0,82,77,14,55
2019-05-13,3,44,23,56,0,90,1,44,15,19,48,65,0,0,45,1,35,12,20,46,72,0,78,49,17,92,82,0,15,65,19,86,98,36,49,15,67,58,0,27,39,58,78,45,28,48,0,25,6,97,0,52,2,56,10,0,17,66,100,56,59,6,37,14,0,17,92,72,86,3,48,52,5,51,0,89,8,46,43,14,69,70,62,35,82,2,94,24,73,5,90,76,4,74,50,80,61,39,52,62,79,73,81,94,55,1,69,13,15,75,45,54,74,44,75,64,0,5,85,10,18,63,97,0,32,48,30,0,7,47,64,69,29,2,29,75,0,5,23,51,69,81,38,77,82,77,63,29,0,22,0,70,8,76,4,70,31,65,3,70,4,79,79,56,28,86,16,11,66,7,61,12,0,30,89,15,38,26,0,83,79,39,80,50,4,27,55,80,45,60,51,76,55,56,70,75,76,0,53,59,87,95,0,0,76,75,72,55,0,0,83,91,58,71,73,59,61,70,89,68,34,43,66,82,53,73,10,2,0,15,71,69,21,64
2019-05-14,3,46,24,59,0,95,1,37,15,23,54,64,0,0,22,1,33,8,20,44,73,0,55,48,20,89,67,0,20,57,18,89,85,54,55,0,66,58,3,22,59,54,61,47,28,49,1,25,6,90,0,53,4,62,28,0,21,68,42,71,59,8,44,13,0,21,91,72,85,0,33,52,1,70,0,84,10,58,26,15,67,63,57,36,82,2,89,23,69,16,88,66,1,74,50,87,62,40,48,59,90,68,83,75,55,3,69,15,19,64,42,98,56,41,81,56,2,3,90,11,16,65,93,1,36,49,38,0,7,52,68,65,37,2,32,70,0,7,34,45,72,85,38,75,80,76,71,29,0,18,0,67,9,89,6,56,32,66,0,71,3,84,84,62,25,82,15,14,51,2,78,11,0,32,89,15,39,43,0,86,83,80,85,57,3,28,78,71,43,61,45,62,55,48,83,74,89,0,68,57,80,87,0,0,82,62,70,63,0,0,89,94,65,75,60,49,63,75,92,51,35,37,72,78,51,65,8,3,3,5,82,77,10,63
2019-05-15,4,42,26,56,0,94,0,38,15,22,53,66,0,0,23,1,26,13,20,44,69,1,73,48,16,83,70,0,23,63,22,85,87,48,51,0,65,55,0,41,97,63,79,51,24,44,0,26,12,89,0,54,4,65,26,0,25,68,53,69,56,5,38,13,1,42,94,71,85,3,42,47,7,26,0,88,13,49,37,7,64,65,61,38,87,1,82,0,75,5,90,77,8,79,51,86,60,45,61,59,82,78,84,76,41,2,70,17,14,79,45,58,59,45,77,55,0,4,78,12,14,75,90,1,29,41,32,0,7,60,74,62,33,4,29,71,0,6,46,50,77,89,36,60,98,79,72,31,1,27,0,70,9,72,5,92,45,69,4,78,6,86,93,54,24,81,16,17,52,2,72,7,5,28,88,14,37,35,0,97,78,64,78,57,3,29,68,75,30,59,54,65,60,57,63,56,78,0,37,58,70,98,0,0,79,79,69,61,0,0,85,97,66,73,79,88,63,74,91,47,35,37,70,78,47,74,16,0,3,5,84,79,15,48
2019-05-16,4,46,23,60,0,91,0,34,15,15,57,63,0,0,22,3,30,14,19,44,71,0,67,48,21,81,71,0,23,64,19,86,84,47,50,8,64,55,5,54,67,56,72,54,31,47,1,26,18,87,40,49,3,62,31,0,36,71,52,70,58,6,51,15,1,33,93,74,85,0,34,50,14,20,1,88,12,48,38,15,61,71,75,35,79,1,86,0,83,16,93,82,7,74,51,86,66,46,55,65,81,74,82,97,77,3,67,19,15,74,44,61,68,48,78,70,1,3,87,12,13,81,96,0,29,37,34,0,4,56,72,65,36,4,35,71,0,5,42,54,77,95,38,67,79,79,75,25,0,16,0,67,10,72,6,83,51,72,3,71,3,79,89,59,28,91,16,4,54,2,70,11,1,32,88,23,40,17,0,92,80,55,83,57,3,25,59,81,27,59,49,79,54,45,72,61,85,0,84,56,57,91,0,2,74,75,64,63,0,3,79,93,65,71,75,43,62,74,92,72,36,35,67,82,46,70,7,0,2,4,80,83,13,54
2019-05-17,3,50,28,80,0,93,0,43,14,17,59,67,0,0,70,4,30,13,21,46,74,0,60,50,17,81,75,0,23,65,21,83,73,52,50,16,69,57,34,33,59,63,72,71,32,46,1,32,11,86,42,57,3,59,27,0,18,74,49,79,57,14,41,15,1,38,88,73,85,0,48,57,58,31,0,77,7,55,45,16,65,80,68,41,85,95,70,16,79,17,82,72,100,72,53,85,69,69,52,58,79,87,81,93,68,3,98,15,20,68,46,89,68,55,81,59,1,7,77,35,19,88,86,0,33,43,33,0,13,60,80,72,31,3,34,67,0,6,37,37,78,100,100,65,90,82,79,28,0,20,0,70,7,71,4,83,33,68,1,72,3,84,86,72,27,79,15,11,53,1,84,13,4,29,89,14,40,27,0,99,82,63,86,68,3,28,83,82,28,65,75,82,61,66,68,87,88,0,55,60,60,100,0,0,32,65,65,66,0,0,80,88,67,76,58,61,65,76,86,72,37,38,84,90,49,84,50,100,100,100,83,97,41,32
2019-05-18,4,57,33,92,0,87,0,48,15,19,65,81,0,0,26,2,39,11,23,56,75,1,88,56,12,88,71,0,23,73,18,83,61,63,47,0,91,62,41,63,89,100,60,65,30,48,0,42,4,79,0,59,4,52,15,0,31,92,73,46,66,7,42,20,0,24,83,59,91,0,54,65,61,35,1,67,9,56,35,9,70,59,77,48,72,79,74,45,64,12,47,79,59,69,59,78,60,86,56,71,90,100,78,100,38,2,93,14,12,80,50,85,43,66,84,78,1,3,79,93,12,37,63,0,37,45,27,0,2,79,76,76,45,4,36,57,0,7,37,52,94,53,90,61,77,88,98,23,1,26,0,74,5,69,6,76,31,74,2,75,1,100,93,77,30,72,13,6,82,1,89,13,3,27,90,15,39,70,0,100,89,59,93,71,3,29,83,84,49,71,94,86,64,80,86,75,88,0,79,64,91,80,0,0,37,69,60,83,0,6,85,88,76,62,86,89,57,86,78,64,38,31,99,83,50,100,40,87,88,83,91,85,35,46
2019-05-19,3,58,27,84,0,87,1,39,14,14,65,77,0,0,0,3,35,9,23,59,77,0,78,54,17,92,70,28,25,71,22,88,78,62,51,9,74,62,55,67,100,93,66,73,25,46,1,35,7,77,0,64,2,67,12,0,27,85,42,50,68,5,37,17,0,71,91,57,87,0,45,61,45,81,0,76,6,58,34,17,66,51,72,49,83,85,75,0,56,18,62,68,39,72,59,82,70,77,59,62,90,91,80,79,42,2,99,14,25,81,50,72,55,65,79,88,0,2,80,100,20,41,64,0,48,58,32,0,13,57,63,70,40,3,34,58,0,6,39,46,86,52,73,66,80,92,85,27,0,46,0,79,7,71,6,61,42,70,1,82,2,94,85,53,29,65,13,6,81,1,83,12,4,25,86,20,38,59,0,97,95,60,98,75,3,25,67,75,45,73,94,91,56,46,70,79,77,0,42,69,58,77,0,0,22,61,63,74,0,0,78,96,60,63,75,67,55,85,76,63,38,29,77,85,47,100,30,52,66,55,79,77,42,75
2019-05-20,3,47,24,67,0,89,1,32,17,14,55,63,0,0,33,4,31,11,19,50,73,0,59,46,9,79,66,25,22,62,23,89,90,98,49,22,58,58,26,27,58,61,100,37,40,42,0,32,7,86,0,51,3,57,35,0,23,67,36,61,60,2,34,10,0,24,93,71,84,0,59,52,37,30,0,81,7,57,32,14,53,67,59,40,87,78,84,23,79,16,81,72,38,79,50,72,61,43,41,42,78,63,80,82,29,3,88,13,22,63,46,56,44,44,78,64,2,6,79,78,14,65,89,1,40,45,31,0,9,46,60,59,39,3,32,73,0,4,40,40,70,86,61,57,71,79,76,26,0,24,0,76,8,80,5,52,38,63,1,73,3,81,80,63,24,100,15,8,72,1,75,8,0,24,79,20,32,34,0,70,79,62,89,60,3,29,21,49,29,57,82,77,71,50,52,69,62,6,57,55,54,74,0,2,62,54,67,53,0,0,100,90,51,72,56,76,60,76,84,60,33,33,63,83,50,76,31,37,48,29,85,87,40,65
2019-05-21,2,44,27,70,0,91,0,33,12,17,56,60,0,0,33,3,39,9,21,49,74,0,63,46,15,78,74,25,23,63,18,89,91,44,47,7,60,57,27,27,63,57,63,45,28,41,1,35,13,86,0,47,3,62,18,0,30,68,62,72,56,4,37,15,1,53,92,76,86,3,45,60,40,40,0,82,14,44,32,18,53,75,59,42,87,100,87,15,85,16,79,70,40,79,51,79,70,41,38,50,82,62,83,71,58,2,77,15,12,69,100,73,52,41,86,64,0,5,82,50,13,51,84,0,34,54,27,0,7,63,51,61,43,3,26,71,0,5,45,44,71,93,59,72,89,76,68,25,0,23,0,76,5,68,4,77,30,67,1,76,2,76,79,71,26,80,15,7,46,1,79,6,1,26,89,17,37,43,0,58,79,64,89,60,4,26,28,71,33,64,81,71,84,47,68,67,74,12,52,57,66,76,0,2,51,62,67,59,0,2,75,95,64,76,69,52,63,77,89,52,35,34,66,84,57,80,30,37,46,34,83,83,54,40
